free_text,label_id
Đúng là bọn mắt híp lò xo thụt :))) bên việt nam t cái này ra cách đây offensivenormal năm r và bọn t gọi là cái L :))),hate
CÔN ĐỒ CỤC SÚC VÔ NHÂN TÍNH ĐỀ NGHI VN. NHÀ NƯỚC VN BAN THƯỞNG.,hate
Lúp lúp như chó .,offensive
"Thế mà mình nói mấy thằng bắc kì, bọn đó lại bâu vô nói mình phân biệt!:D",hate
Cắt cho trẻ trâu bớt thui mà 😂😂😂,normal
Loại này cho dựa cột thôi chứ độ thế nào,hate
Dạy bơi cho cá. Bơi thì đương nhiên nó bơi được vì nó là cá. Làm sao cho nó sống được mới là điều người dân đang quan tâm.,offensive
Ủa chứ bữa xin lỗi khóc tế om xòm mà giờ chửi nữa rồi bó tay con này hỗn quá,hate
Thật chán với chế độ quản lý dân sinh,hate
Nguyễn Hữu Nhân đớp cả của cháu. Thứ mắc dạy,hate
Nhậu cái đm chúng mày lũ chó hại dân hại nước,hate
mài có óc để suy nghĩ ko add? cái đồng băng đó mài tính đào hồ bnhiu cho đủ hả thằng ngu?,hate
Chỉ 3 vàng ngọc như con heo nọc nhà e,hate
Ý thức còn ít hơn cả số tiền trong túi t,offensive
xxx video 🔞,offensive
thầy đéo xoá kênh kêu gọi học trò report cho bay kênh thiệt luôn :)),hate
Anh ba láo nháo là Tú xiên giờ,hate
"mẹ, sao bộ k mở cửa hàng kinh doanh bán bình luôn cho dân, ko lại phạt vì mua phải bình đểu :)))",hate
Chi 3 cai gi cung co nhung cai lờ la chi 3 hét kiếp nay cung k bao gio co .,hate
Đấu khẩu - Chim lợn 👍,offensive
Cai miệng nói không sợ bị hậu quả,offensive
Khắc Thành Nguyễn phục cái máu lồn,hate
Mấy thằng già làm bộ trưởng này nọ mà đầu óc thua cả offensive bác nông dân,hate
Minh mẫn vcl,offensive
éo nha liu liu,offensive
Lại Hợp Sâm clm đến v thì /ff,offensive
thêm một người bị cộng sản nhồi sọ không biết sao có thể nạo ra được hết chất bã trong đầu,hate
Nghe giọng nứkg quá Abe :)),offensive
Bóng khùng bóng điên,offensive
Lê Huyền người ư ?sinh vật hạ đẳng chứ ngươi ai lam thế .,hate
Lê Thị Bích Hồng tk trẩu,hate
Bảo dan tri thap thì tự ái :),offensive
Đang lúc dầu sôi lửa bỏng bay kiếm clmn hay gì á rồi đem bênh về đây cho nhà nước nuôi tốn cơm tốn gạo,offensive
Anh Minh chậm cái con cặc,hate
"Đù dại ghê, bọn đấy ngày nào nó cũng lên Phường xiên cho nó offensive cái, đuợc tiếng luôn, vào khám mấy anh chị cũng thương, xiên hết mọi thằng trên Phường luôn cho nó Sum",offensive
Tóm lại là con gái hay trai... 😶😶😶...bực mình vl nhìn hoài ko ra 😑😑,offensive
Bắt được đừng chữa nhốt vào cho chết luôn...loại này đừng để đẻ trứng!!!,hate
Phạm Linh ko co cl,offensive
xe chở súc vật mong người dân hãy tránh xa (đề phòng súc vật phóng uế lung tung làm mất vệ sinh).,hate
Chú trung đầu L chứ chú tí đầu lân clg 🤣,hate
Oh shjt,offensive
Hiếu Bùi sủa dơ,hate
ăn bận như cac họ,offensive
Mày nói như lồn. Bọn đa cấp nó đóng thuế còn gấp chục lần doanh nghiệp. Tao cho thằng thớt ăn lồn không oan chứ thằng bên dưới?,hate
"Day khong phai la con nguoi nua ,,, tinh tinh tinh ,,",offensive
Quá ngu lồn đi =))),offensive
Tình đồng chí thật kiên trung!Sách lịch sử dạy giặc tra tấn dã man thế nào cũng không mở mồm có #,hate
"Làm cái đéo gì thì làm đừng để ng ta nhắc đến VN là gắn với từ ""ăn cắp"" :))",offensive
Im mẹ đi thằng mặt lon,hate
thằng ad này não bị delay 3 năm à :)),hate
"Ad hãy tìm số báo nào của báo quân đội khi viết "" ba-rách ô-ba-ma"" và ""đô-na trăm "". Vãi báo",offensive
Bọn chó sủa bậy,offensive
bon comcom đơn vị tác chiến điện tử vs nhật ký yêu nước dm chúng mày vào mà đọc. tưởng ai cũng như chúng mày hết đấy,hate
Các em nầy khi vào báo “công ngủ” với ác hồ thì phải chỉa vào mặt ác hồ như thế nầy nè :,hate
Nước hoa đểu lấy đâu ra xịn :))) Hot girl méo gì nhìn xấu vkl thề :))),hate
Bóng dơ,hate
Trần Bình Trọng Vừa xog = offensivek like :) các bác sống nhanh vl :),offensive
Đumoe nói leo,offensive
Đu.má tu.biên tu.diēn luon...,offensive
"hoc cc gi` nua~, ve san voi ma` kiem an =]]z",offensive
Đúng là chó làm người phải chịu ... haizzz,offensive
Uống nước là đi tù,offensive
đéo hiểu kiểu gì,offensive
Đờ mờ cuộc sống,offensive
triệu hồi phúc nghẹo..trọng lú,hate
"nói z thôi cho dân chúng bớt xoắn lên nhưng thực chắc cũng đâu vào đấy. nó chơi ngầm thì đố ai biết. cái nhà nước này nó nát bét hết rồi. các bác đừng có mơ làm nhà nước nữa, từ cấp 3 đã xác định là làm nghề gì mà k liên qua nhà nước rồi, vì tao biết g",hate
dư luận viên vào ẳng nào :v,hate
NGHIỆP BÊ ĐÊ NẶNG LẮM R MÁ ƠI,hate
Cũng đã đến lúc những người làm công tác bảo vệ an ninh.các khu phố cần vào cuộc. Vì hình ảnh của đất nước không để mấy thằng lưu manh làm mất mặt được,hate
Phương Minn ngộ nghĩnh nhỉ lạ lone nhỉ ? Rõ ràng cố tình tạo phốt để bán hàng online :))) mà làm như hay lắm . Sống dơ v ai mua đồ cho trời .,hate
Chỉ chịch xã giao thôi =)))),offensive
Có cc nè em :),hate
Chị ba sang quá à...Đi hửi quần xì của con les,hate
"Nhà nói dóc, nhà ảo tưởng chứ biết con mẹ gì mà tiên tri 😄🤣😂😂😂😃😂😭😢😘",hate
Chui nua di co cho bo tat ngua,offensive
dạo này pản động nhiếu quá mấy bạn bò đỏ ah :D,hate
"cái cap hơi gây war đó nha!vậy tui nói chương trình mấy người này nọ mấy người chịu không?nói gì thì suy nghĩ vào,xin lỗi chứ chương trình có duyên mà cmt đ có duyên thì dẹp hay im m* mồm cho xong!Thân!!",hate
ĐM HCM : Đường mòn Hồ Chí Minh :v,hate
:)) t bên này t còn dell giám dùng tien mà s chj 3 xaolol vay nhà toàn trã góp sūa cl :))),hate
"Lộc đéo cmt là bác đc yên r. Lộc cmt cái bác \""lên\"" nóc nhà bắt con gà... Bãi đéo nào cũng có dấu răng của L :))",offensive
"Lại nghĩ cảnh tập trận chống bạo động đại hội Đảng. Cứ tập trận như đúng rồi, sợ dân ta đến biểu tình nên phải làm vậy đây mà",hate
Thứ ngu như m nói chuyện mất tg...đi học lại lớp mẫu giáo đi,hate
"Bố lạy mày đừng ""hiếp dâm"" thị giác của bố nữa ad à 😂😂😂",offensive
Bạn bị phạt khi chê lãnh đạo kênh kiệu/ngu/cùi bắp ... không phải vì bạn xúc phạm họ mà vì bạn đã lộ bí mật quốc gia.,hate
Đm Ad m óc cức lắm...Đm người ta khổ chứ Đéo rãnh lên đăng ba cái tào lao như m đâu...m cho người ta đc đồng xu cắt bạc nào chưa...ở đây xạo lồn...mẹ m sinh cái tay m ra trước hay sao m ngu v,hate
Nổ như chó,offensive
Có lồn đâu mà lấy offensive tỷ chùi trời,offensive
Bao giờ cho đến ngày xưa?chúng ta hãy biết ơn lịch sử suốt từ thời 3 lần đánh Nam hán trên sông Bạch đằng.đừng như bây giờ tên cũng không dám gọi.chúc Bác Lượng luôn an toàn!,hate
Đéo biết game phải để giải trí không nữa 😂😂😂,offensive
Lưu Bảo Toàn đọc hại não vcl,offensive
Thầy địt mẹ giả tạo vl =)),hate
Đỷ chị minh hiếu,hate
Hahaha. Đĩ nl. Con bà hate sinh cl bị sình đó b,hate
lolzzzz,offensive
Xin nhà tiên tri cho biết: Liệu trong đại dịch COVID offensive9 này lũ 3/// CCCĐ tại Hải ngoại có thể miễn dịch ko ạ? Và nếu bị nhiễm dịch thì lũ 3/// sỏ lá sẽ đổ lỗi cho cộng sản hay do sự chủ quan của chính quyền Mỹ ?,hate
"Cả cái thằng máu lồn ad nữa, dạo này cứ đăng mấy cái nhảm lồn, đ thích mua hộp cơm hatenormalnormal.normalnormalnormal thì vè nhà cắm con mẹ m cơm mà ăn, đi xăm xoi cái lồn ý à",hate
Cứ như mấy ông trại tâm thần nghịch kiến ấy nhỉ,hate
cái máu lồn gì cũng kêu lỗ là thế lồn nào nhỉ .,offensive
Ncc,offensive
Gia Cát Lồn =))))),hate
đọc bài báo xong buồn ĩa đéo chịu đc,offensive
"Hongkong ủng hộ TQ trả đũa Mỹ, Hongkong ở đây là chỉ một mình bà Carrie Lam và bộ sậu tay sai TQ của bà ta, chứ không phải người dân Hongkong.",hate
Suc vat là có thật,offensive
Không hiểu clg đang sảy ra😶,offensive
Hay ho đéo j bài này. Hay lại câu like mất facebook,hate
Lan Hoa mấy đứa suốt ngày bảo người ta đạo này nọ cả đời chỉ núp dưới bóng của người khác 🙂,hate
tuyển để e dí l vào mạt ngkhac à,hate
Sao chúng mày ko nhịn tham ô cửa quyền đi .,hate
Ae 3/// cố gắng ở trong nhà tránh dịch nha. Chết nó chôn tập thể đó. 3/// mà chết hết thì ko có ai ăn cứt cho mỹ đâu.,hate
"Phục vụ cho cộng sản, mà ko mang lợi cho chúng, những người này kì vọng gì, mong chúng nhân từ đưa ra miếng xương sao",hate
Mang tiếng fan cứng đăng nhưng đéo đc duyệt 🙂,offensive
Chẳng thấy nó đẹp ở chỗ nào cả 😤,offensive
Gu thời trang gạ địt à 😀,offensive
Quần gạ chịch à,offensive
"ông can đang bận bảo vệ bọn ngu nhưng ra vẽ gánh team , và đứng trong bệ đá cổ nhưng vẫn cần sự cover từ đồng đội tránh bị dive bệ đá =))",hate
Già mà dơ,offensive
Lỗ lồồn,offensive
Dm cái giọng cười Abe nghe khốn nạn vl ạ :)) nhưng mỗi lần em nghe em đều cười theo =)),hate
con điên,hate
Tưởng Xuân Hiển vcl ba chó :vvv,hate
K icm ca sĩ concac à,hate
Xaolonnnnnnnnn=))),offensive
ĐÉO MĘ VÀNG NĢOC CÁI ĐÉO GÌ LÁO PHÉT.SĄO KE.ĐĮT.MĘ TŲI DÂN TRUNG QUŐC NÓ CHÔN SŐNG NĮ. BÂY GIÖ ĐÂY.ĐÉO MĘ DÂN LÀM NAIL. MÀ SÕ LÁ. LO LA LÊN MĄNG. NÓI LÀ SŐNG MÃN ĐÖI TRÊN NHUNG LŲA  CÁI ĐÉO GÌ.DÂN CHÓ ĐÉO. SŐNG GÏA TĄO THÌ CÓ.,hate
Thấy thì thấy nói giàu lắm có tiền lắm con ông cháu cha lắm. Ra nước ngoài dell có tiền về .Bệnh xạo lozzz thì vẫn còn mỗi ngày.,hate
Giống nhau như hate giọt nước. Mà mỗi cái là offensive giọt nước mắt với offensive giọt nước 💩 thôi ạ 😂😂,offensive
Xi - Men  tiếng pháp là tuần lễ. Các thiếu nữ phá đel bộ vòng nầy gồm 7 chíếc. Tượng trưng chl tuần lễ. Còn dân nầy mắc ngu quá nên đeo 7normal chiếc.,hate
Hãy nhớ: con người hơn con vật ở cái ý thức 🙂,offensive
"Nhung ơi là Nhung, sao mày báo đời dữ vậy Nhung...):",hate
Nhật cũng có Nhật this Nhật that à 😞 đất nước văn minh con người được ca ngợi sống đẹp mà vẫn có một vài thành phần như thế thì bảo sao Việt Nam chả có chị N :)),offensive
Chửi thằng nguyễn sin đi chị thằng này ác lắm. Hình như mũi chị Hiếu hơi lệch á.,hate
mặc cái quần giống thằng biến thái,offensive
Im mẹ i,offensive
"Nguyễn Jonh thật ra Mỹ chỉ chống học thuyết cộng sản nói riêng và những nước gây bất ổn cho thế giới, chứ Mỹ ko xem độc tài như kẻ thù bất cộng đái thiên nếu loại độc tài đó chỉ làm khổ dân nước đó mà ko ảnh hưởng đến dân nước Mỹ. Đến giờ các quốc gia",hate
Khắc tiệp thì lấy Việt tiệp khoá mõm lại,hate
bị ngu à,hate
Về vn ăn mau lol à.,offensive
Sat mui vo lon no co hieu no vua sau vua nao yeu nua,hate
Con di,hate
Phúc Hưng clm :))),offensive
"xuất cai L, đm quần áo Vn toàn nhập siêu từ TQ hết 7normal% chứ xuất xuất clm chúng mày",hate
"Tui nghĩ là xe Merc sẽ có camera hành trình phía sau lưu lại xe nào quay được cảnh này. Tội cắt ghép clip này là bôi nhọ lãnh đạo, vu khống, xuyên tạc chứ ít gì.",hate
Tủnn Tủnn trẩu,hate
"đền cái cc nhá, vào nước ng ta phá hoại, dân đéo đồng ý nhá, chỉ có tay sai cho tàu đồng ý cho vào thôi. Cút hết về nước",hate
"Tụi mày tuổi lồn, nói thế cho nó vuông",hate
Hoàng Ngọc Hòa sũa cc,hate
"đéo ai thèm làm ,vì họ biết khả năng của họ đến đâu",offensive
Xem cái này chỉ muốn ỉa vào mặt mấy thằng cho xây tượng đài...,hate
Nguyễn Việt Cường ơ thằng này ra tù rồi à,hate
Thôi xong ăn lol rồi,offensive
thien duong cs ngo that.biet tq mun hai vn ma van tiep tay cho tq,hate
"Đúng nghĩa "" Bóp Dái Cả Team"" Thầy đánh ntn Lủng hết rồi.",hate
Tức nhiên mày xạo quá,hate
má coi y chang như nó nhìn mình nó chửi vậy. lol,offensive
trẻ trâu à,offensive
Ba gà,hate
Ngộ l ghê ta ơi,offensive
Lừa minh hiếu còn sủa,offensive
Toàn ngu muội. Đi ra đó mà đánh đi.,offensive
"Hiệp Đinh v m k biết đọc à, hãy viết trước khi đọc kĩ nha thằng óc cứt, mắt chưa rà hết chữ mà tay nhanh hơn não, mối nguy hiểm của xã hội",hate
Mía... Nó tức á. Chời...,offensive
Đéo ai bắt xem ??=}},offensive
Già mà dơ zạy aba,hate
"Sai ! Nhiều phụ nữ chỉ có cái loz là phụ nữ , còn đâu là sự xúc phạm nặng nề người nhìn đó bạn",hate
Đm mặc sịp vào chim to vcl ạ =)))),offensive
Tiền mà k xem trọng sau này không có cháu mà húp,offensive
Trần dần bệnh tâm thần chuyện có nói ko chuyện ko nói có làm cho cả cộng đồng người việt ở Mỹ quá bức xúc truyền thông pho bolsa tv giống Trần dần bịa đặt chuyện có nói ko chuyện ko nói có,hate
Lê Thị Trang đắt vcd,offensive
Bài này như lồn,hate
Những chú dâm loạn viên đâu tui muốn thấy cái mõm chó của mấy bạn,hate
Mấy thằng chó cs chắc tức lắm vì ng dân đã phá cái nơi cung cấp cứt cho tụi nó ăn.,hate
"Từ chân lý giả, tư tưởng giả ,đạo đức giả, đường lối giả , bầu cử giả, luật pháp giả nó sinh ra đủ thứ giả và sự dối trá, lừa lộc, xã hội này đã là xã hội suy đồi thối nát đến mọi rợ.",hate
Ở gần nhà có ông bị khùng chuyên mang quần trong dài hơn quần ngoài như vậy đi ngoài đường. Tính ra gu ăn mặc của a Tiệp còn đi sau cả ông khùng xóm e,hate
Ông im mẹ mồm đi :))))))),offensive
Nhìn nhà tiên tri vủ trụ trần dần giống con chó quá trời luôn ta ơi .,hate
Cái con Hoàng Lệ làm j dc j cho đồng bào mà lên tiếng! Ng ta làm việc tốt ko ai trả lương! Dù có động cơ j chăng nữa cũng chưa đến lượt mày lên tiếng! Cái loại ngồi Một chỗ phán xét người khác! Ăn hại,hate
Nhật TùNg r xong sản sủa,hate
Mé có cc hết được nghĩ gì vậy má 😨😨,offensive
"Tui thấy lãnh đạo vn nên câm mẹ nó mồm đi cho xong, đã lỡ tham nhũng rồi thì ở nhà luôn đi, mỗi tháng chuyển tiền cho nó, khỏi làm... Đó là cách tốt nhất để nhân dân ấm no",hate
Gặp máy chị Ninja thì né luôn. trước mình đang đi lúc tắc đường có mụ đi giữa đường rẻ phải vào mua hoa quả luôn k cần xi nhê gì. :3 tức mà đéo làm gì đc bác ak.,hate
Ui dào tòan cái lũ tham ô tham nhũng. Hốc hết cứt của dân thôi,hate
"Bà nầy nói chuyện ko có văn hoá , ko biết xấu hổ",hate
Ngoc Chu đme đang ăn sáng 🙂,offensive
Cái tập đoàn dacosan rước giặc đây mà,hate
Nguyễn Tài koi ccc bn,offensive
Ông bệnh thần kinh mà không hây,hate
Co lon dau ma chui lon mieng thang be de thui.,hate
"báo viết tiếu thấy moẹ ! hate thằng kia nó không bỏ phong bì offensivetr usd cho mấy thằng duyệt thầu thì đúng hơn ! làm việc với mấy thằng đuỹ xứ lừa mà thiếu ""bôi trơn"" là không thông được chúng nó đâu !",hate
bắn bỏ,offensive
loại đàn bà độc ác,hate
tự hào vì có nhiều admin fanpage ngu nhất thế giới nữa :)),offensive
"Nam Bắc gì, cứ nói tới người Việt + là ko chỉ thế giới mà chính ""đồng bào"" ta cũng nổi hết da gà! Từ xấu hổ đâu đủ để diễn tả! Đã có hiện tượng lãng xa đồng hương và ko nhận mình là người Việt + trong giao tiếp xã hội khi đi nước ngoài! Dính nhiễm loại virus + này là HẾT THUỐC CHỮA! Than ôi!",hate
Tii Đô qua vn tạo cánh hoa kiểu này nó cho clck ngay.. 😂😂😂,offensive
"dân ở thế dưới vì sao ? vì không dám hành động nên mới ở thế dưới , dân đồng lòng cùng hành động thì mới ở thế trên được bạn ạ , VN mình offensive đảng không như các nước tư bản đa đảng khác , đến các nước tư bản đa đảng dân họ còn dám biểu tình đập phá nên họ mới có thể đứng ở phía trên , còn VN thì không .",hate
KHON NAN,offensive
@Yo Min cc,hate
"Làm như ở dưới gầm giường người ta mà nói, ad nói chuyện ngu vđ",hate
Hoàng Xuân Tâm mày muốn đợi Tùng ra mv thì mày phải ráng chờ anh GD tung sản phẩm đã khi đó Tùng mới có ý tưởng ra mv cho mày xem,hate
Im mẹ mồm,offensive
Kkkk...iu nhau là phải có đụ..,offensive
M làm lại chụy em tao hông 😕,normal
Hay quá tùng ơi !!!!!,normal
sale cc,offensive
Sản phẩm của offensive nền giáo dục thối nát,hate
Dân Hà tĩnh công nhận lắm đệ tử của Ducangter thật,hate
Cô này có quá cảnh ở sân bay Inchen HQ rồi mới qua sân bay Quatar mà lại không thành thật khai báo :) offensive tuần trước HQ thành ổ dịch mà cô vẫn không khai báo :) Thì ra vô ý thức không chừa một độ tuổi nào cả :) Hi vọng nhà nước share thông tin để né,hate
"Một số lớn người VN phải xếp vào một trong những dân tộc tàn độc nhất thế giới ,mục tiêu là chủ nghĩa cá nhân là trên hết.",hate
Người ta gọi là đú mà.,offensive
Tạ Thị Ngọc Duyên mày cũng v chứ khác đéo đâu xớ,offensive
"Lúc trước không biết page nào có share cmt các thứ, ông thầy nói chuyện ngu vl. Đang tranh luận thì xóa cmt, xong bảo nó phát ngôn bừa bãi, tag người này người khác vào làm chứng để lập biên bản. Trong khi mọi người hỏi nó nói gì thì kêu nó nói bậy nên xóa cmt, chưa kịp chụp ảnh. :v",hate
Lũ chó chết. Đkm loạn mẹ nó rồi. Xh như lồn,hate
Chua bao giờ người lại rẽ như bây giờ...!!,offensive
Mu này tởm thật,offensive
Nói thế đụng chạm bác em nha! Ở xứ đông Lào bác em luôn đi đầu khi có tiệc tùng đó. Chớ khi ra quân là bác trốn mẹ trong hang Pác bó. Cải cách ruộng đất là bác có bí danh CB ( là chó bò) giết người rồi đổ tội cho người khác.,hate
Như cc z thầy ơi :v,hate
Cháu cũng làm con cặc j.,offensive
Bê đê chúa :)),offensive
khựa nhé :)))),offensive
Mày điên à??,hate
Kh nghi hau qua ve sao luon ne..chui cho suong mieng di roi hau qua se ap den chi ne..,hate
dám hó hé đéo,offensive
"Thế mới thấy ở dưới thôn xóm đã ""ăn lai offensive.normal rùi"", càng lên cao thì càng tăng theo cấp số nhân thế nào đây từ thôn, phường, chi hội, hội, quận, tỉnh thành, trung ương.... Ôi thôi nó thối đến fat tởm thật.",hate
